"trip_id","driver_id","customer_id","trip_date","distance_km","fare_amaount","rating","vehicle_type","pickup_location"
66,34,1612,"2025-07-12",14.8,392.12,2,"SUV","Lucknow"
67,43,1739,"2025-08-13",33.59,892.37,1,"Mini","Delhi"
68,114,1626,"2025-05-26",27.7,514.19,4,"SUV","Noida"
69,121,1926,"2025-04-10",11.09,326.98,3,"Mini","Agra"
70,129,1541,"2025-08-03",31.24,833.23,2,"SUV","Noida"
71,165,1493,"2025-07-10",7.26,136.13,5,"Sedan","Prayagraj"
72,73,1086,"2025-03-24",34.14,947.98,3,"Mini","Noida"
73,57,1837,"2025-08-19",7.6,163.87,3,"Sedan","Agra"
74,61,1396,"2025-02-11",4.02,90.57,3,"SUV","Kanpur"
75,183,1666,"2025-06-21",14.11,232.62,2,"SUV","Kanpur"
76,179,1852,"2025-03-13",12.9,354.06,4,"Mini","Noida"
77,66,1221,"2025-03-18",2.2,35.61,5,"Mini","Kanpur"
78,32,1049,"2025-05-03",31.49,584.6,4,"Mini","Kanpur"
79,153,1549,"2025-01-09",6.21,177.46,5,"SUV","Prayagraj"
80,158,1362,"2025-05-04",7.46,159.93,5,"Mini","Lucknow"
81,93,1070,"2025-09-27",27.25,443.74,5,"Sedan","Agra"
82,100,1383,"2025-05-10",35.19,550.83,1,"Hatchback","Kanpur"
83,161,1107,"2025-10-25",15.1,392.51,3,"SUV","Kanpur"
84,165,1180,"2025-12-17",15.39,309.0,4,"Mini","Prayagraj"
85,184,1795,"2025-08-23",8.93,152.01,1,"Hatchback","Lucknow"
86,11,1324,"2025-06-08",3.66,65.85,5,"Mini","Noida"
87,166,1196,"2025-05-27",19.99,310.83,3,"Sedan","Prayagraj"
88,95,1448,"2025-07-24",14.61,246.43,4,"Mini","Delhi"
89,128,1377,"2025-09-23",39.0,875.28,3,"Sedan","Prayagraj"
90,47,1559,"2025-05-31",18.13,389.05,3,"Sedan","Kanpur"
91,115,1618,"2025-08-07",14.46,281.02,2,"Mini","Delhi"
92,91,1630,"2025-08-11",18.99,491.88,3,"Sedan","Kanpur"
93,132,1821,"2025-12-14",27.5,580.06,2,"Sedan","Lucknow"
94,113,1036,"2025-03-06",34.25,862.12,1,"SUV","Prayagraj"
95,146,1034,"2025-11-06",15.92,330.23,2,"Mini","Delhi"
96,147,1141,"2025-09-29",16.14,426.84,3,"Mini","Delhi"
97,30,1027,"2025-04-06",26.68,500.09,4,"Mini","Noida"
98,181,1457,"2025-04-20",6.47,172.26,5,"Hatchback","Prayagraj"
99,32,1139,"2025-02-07",36.83,823.81,4,"SUV","Prayagraj"
100,175,1991,"2025-06-13",18.91,308.55,3,"Sedan","Noida"
101,41,1729,"2025-12-30",22.6,641.16,2,"Hatchback","Noida"
102,36,1243,"2025-09-10",10.52,313.25,1,"Hatchback","Noida"
103,142,1133,"2025-11-10",23.75,522.76,1,"Sedan","Delhi"
104,123,1539,"2025-07-30",17.13,441.17,4,"Sedan","Lucknow"
105,116,1478,"2025-12-15",38.95,959.54,5,"Hatchback","Lucknow"
106,164,1602,"2025-04-04",35.36,944.25,2,"Mini","Noida"
107,32,1531,"2025-03-20",36.61,579.58,3,"SUV","Lucknow"
108,89,1971,"2025-09-23",14.26,365.63,3,"Sedan","Delhi"
109,71,1129,"2025-11-17",9.46,277.61,3,"Sedan","Noida"
110,149,1158,"2025-03-29",26.36,629.4,5,"Hatchback","Noida"
111,21,1047,"2025-11-25",3.57,99.81,5,"Hatchback","Prayagraj"
112,159,1655,"2025-01-16",10.01,236.06,4,"Hatchback","Prayagraj"
113,176,1416,"2025-06-02",38.35,853.06,4,"Sedan","Prayagraj"
114,124,1476,"2025-04-15",4.28,92.42,3,"SUV","Delhi"
115,89,1999,"2025-07-24",34.74,687.5,2,"Hatchback","Noida"
116,120,1126,"2025-05-17",23.34,461.82,4,"SUV","Lucknow"
117,99,1885,"2025-11-12",5.68,109.93,4,"SUV","Lucknow"
118,185,1321,"2025-04-08",32.91,954.6,2,"Mini","Noida"
119,128,1024,"2025-02-16",19.74,556.39,4,"Mini","Lucknow"
120,13,1289,"2025-09-11",10.18,206.59,5,"Mini","Delhi"
121,111,1138,"2025-05-16",22.39,620.37,3,"Mini","Delhi"
122,144,1200,"2025-07-05",3.72,58.65,5,"Hatchback","Kanpur"
123,141,1287,"2025-11-16",16.68,362.88,5,"Sedan","Lucknow"
124,87,1572,"2025-07-07",39.05,816.48,2,"SUV","Noida"
125,12,1040,"2025-03-12",21.35,480.4,3,"Mini","Noida"
126,132,1144,"2025-06-17",19.37,466.7,5,"Hatchback","Lucknow"
127,77,1608,"2025-06-22",16.93,410.51,5,"Mini","Prayagraj"
128,5,1378,"2025-06-19",23.39,517.47,1,"Mini","Noida"
129,177,1645,"2025-01-14",13.69,389.91,5,"Mini","Delhi"
130,199,1593,"2025-10-23",38.75,1036.31,2,"Sedan","Noida"
131,185,1635,"2025-07-14",20.26,463.21,2,"SUV","Kanpur"
132,49,1020,"2025-08-14",23.76,606.07,3,"Mini","Lucknow"
133,129,1794,"2025-11-10",17.69,319.45,4,"Sedan","Prayagraj"
134,84,1679,"2025-09-02",7.25,131.3,5,"Mini","Delhi"
135,137,1351,"2025-10-07",38.35,839.67,3,"Hatchback","Noida"
136,72,1572,"2025-06-02",20.4,598.95,2,"Hatchback","Delhi"
137,126,1325,"2025-09-03",28.79,729.93,3,"Hatchback","Delhi"
138,98,1918,"2025-07-22",6.63,166.74,3,"SUV","Delhi"
139,21,1355,"2025-08-15",3.6,105.59,3,"Mini","Lucknow"
140,144,1713,"2025-05-20",9.68,223.4,2,"Sedan","Noida"
141,13,1686,"2025-09-29",30.15,560.47,2,"SUV","Kanpur"
142,121,1103,"2025-12-15",5.81,115.94,2,"Sedan","Noida"
143,168,1958,"2025-09-01",39.16,680.17,4,"SUV","Delhi"
144,197,1092,"2025-11-30",14.2,350.58,5,"SUV","Noida"
145,10,1936,"2025-03-31",30.07,834.59,4,"SUV","Kanpur"
146,127,1191,"2025-05-29",39.89,835.89,1,"Sedan","Delhi"
147,86,1292,"2025-08-21",23.58,391.65,5,"Mini","Lucknow"
148,50,1829,"2025-02-27",34.34,756.18,3,"SUV","Prayagraj"
149,48,1015,"2025-06-22",19.44,366.62,3,"SUV","Lucknow"
150,104,1847,"2025-08-07",25.22,619.93,5,"Hatchback","Kanpur"
151,36,1489,"2025-06-15",17.23,283.1,2,"Sedan","Delhi"
152,69,1977,"2025-06-18",16.58,359.8,3,"Sedan","Delhi"
153,16,1684,"2025-03-02",26.84,681.51,4,"Hatchback","Lucknow"
154,181,1789,"2025-06-09",17.41,392.38,1,"Hatchback","Delhi"
155,35,1490,"2025-03-20",25.36,463.76,4,"Hatchback","Agra"
156,194,1551,"2025-12-07",28.67,822.6,2,"SUV","Prayagraj"
157,21,1539,"2025-08-17",30.68,862.02,5,"Hatchback","Kanpur"
158,141,1925,"2025-09-16",36.86,614.94,2,"SUV","Lucknow"
159,30,1697,"2025-04-16",14.47,329.99,5,"Mini","Kanpur"
160,15,1465,"2025-03-09",36.16,784.03,5,"Mini","Agra"
161,173,1827,"2025-06-07",23.43,547.84,1,"Mini","Delhi"
162,149,1075,"2025-01-24",33.03,864.96,4,"Hatchback","Prayagraj"
163,18,1957,"2025-08-30",4.42,132.21,1,"Hatchback","Agra"
164,165,1747,"2025-11-27",8.84,150.56,4,"Hatchback","Agra"
165,97,1385,"2025-02-11",19.04,547.53,5,"SUV","Prayagraj"
166,138,1403,"2025-09-28",34.69,582.08,2,"SUV","Kanpur"
167,119,1690,"2025-10-06",30.73,911.99,4,"Mini","Lucknow"
168,71,1194,"2025-02-27",11.41,230.4,1,"Mini","Noida"
169,5,1247,"2025-04-16",31.11,879.06,1,"Sedan","Noida"
170,181,1894,"2025-01-25",3.28,78.61,2,"Sedan","Agra"
171,194,1885,"2025-01-29",18.68,431.44,2,"Hatchback","Lucknow"
172,82,1592,"2025-11-03",33.0,857.1,3,"SUV","Delhi"
173,134,1227,"2025-07-31",35.3,1051.43,3,"Hatchback","Kanpur"
174,189,1934,"2025-03-31",23.16,552.95,4,"Mini","Kanpur"
175,172,1391,"2025-09-26",38.95,1134.37,3,"Mini","Agra"
176,194,1551,"2025-08-31",7.67,158.36,2,"SUV","Delhi"
177,119,1937,"2025-01-30",34.59,593.75,5,"Mini","Agra"
178,63,1262,"2025-04-15",23.18,394.32,3,"Sedan","Agra"
179,186,1850,"2025-04-08",34.19,560.27,1,"Hatchback","Agra"
180,19,1193,"2025-10-28",27.6,663.61,5,"SUV","Agra"
181,78,1980,"2025-01-08",9.94,284.34,2,"SUV","Prayagraj"
182,123,1937,"2025-05-05",6.46,193.76,5,"SUV","Agra"
183,199,1290,"2025-07-14",36.77,856.05,4,"Hatchback","Delhi"
184,128,1478,"2025-02-20",11.94,270.95,4,"Hatchback","Lucknow"
185,145,1885,"2025-04-24",16.09,341.25,2,"Sedan","Delhi"
186,185,1428,"2025-06-01",23.03,547.2,2,"SUV","Delhi"
187,63,1512,"2025-10-09",10.74,252.89,3,"Hatchback","Agra"
188,126,1472,"2025-03-28",38.73,953.74,3,"SUV","Lucknow"
189,139,1658,"2025-01-31",29.37,655.68,5,"Sedan","Kanpur"
190,196,1007,"2025-07-31",37.92,948.88,2,"SUV","Kanpur"
191,130,1467,"2025-07-11",28.87,437.01,1,"Mini","Prayagraj"
192,142,1422,"2025-01-07",20.54,310.14,1,"Hatchback","Noida"
193,179,1691,"2025-08-09",39.14,597.16,2,"Sedan","Kanpur"
194,159,1540,"2025-05-10",21.93,408.22,3,"Hatchback","Agra"
195,118,1579,"2025-05-05",5.0,146.95,2,"Hatchback","Prayagraj"
196,167,1778,"2025-01-17",33.47,542.52,1,"Mini","Agra"
197,164,1010,"2025-12-26",16.33,361.55,2,"Sedan","Agra"
198,85,1580,"2025-02-18",34.12,841.86,5,"Sedan","Lucknow"
199,146,1487,"2025-05-19",10.03,281.06,1,"Sedan","Prayagraj"
200,145,1674,"2025-01-17",37.17,1058.96,2,"Hatchback","Kanpur"
201,193,1841,"2025-12-31",38.54,917.47,4,"Sedan","Delhi"
202,100,1694,"2025-10-04",8.17,152.02,3,"Mini","Prayagraj"
203,186,1081,"2025-09-14",7.32,218.33,3,"Sedan","Kanpur"
204,88,1620,"2025-11-11",18.61,513.27,5,"Mini","Delhi"
205,116,1503,"2025-04-27",3.13,59.78,3,"Mini","Agra"
206,98,1088,"2025-11-13",9.06,215.52,3,"SUV","Prayagraj"
207,98,1729,"2025-11-21",4.79,91.1,2,"Mini","Delhi"
208,79,1456,"2025-07-04",15.71,257.22,3,"Sedan","Lucknow"
209,143,1569,"2025-09-20",5.32,114.19,4,"Sedan","Kanpur"
210,153,1613,"2025-06-16",5.41,126.12,4,"Sedan","Delhi"
211,186,1923,"2025-10-14",17.72,472.9,2,"SUV","Prayagraj"
212,78,1275,"2025-09-10",16.47,281.35,2,"Sedan","Lucknow"
213,124,1802,"2025-02-09",18.52,394.78,3,"Hatchback","Lucknow"
214,158,1201,"2025-08-23",29.39,659.42,1,"SUV","Delhi"
215,159,1390,"2025-06-18",2.26,47.31,4,"Hatchback","Agra"
216,153,1140,"2025-06-03",32.99,920.18,3,"SUV","Agra"
217,82,1299,"2025-12-22",13.94,410.79,4,"SUV","Delhi"
218,101,1374,"2025-02-28",16.29,443.86,5,"SUV","Noida"
219,197,1564,"2025-01-14",39.9,706.19,4,"SUV","Agra"
220,18,1839,"2025-07-29",32.31,887.53,4,"SUV","Prayagraj"
221,40,1733,"2025-08-05",13.51,253.86,4,"Sedan","Agra"
222,103,1548,"2025-09-17",39.65,879.77,4,"Sedan","Delhi"
223,153,1654,"2025-02-13",28.66,779.11,1,"SUV","Prayagraj"
224,157,1046,"2025-10-16",27.26,476.92,4,"Hatchback","Agra"
225,57,1523,"2025-09-23",6.03,99.37,5,"SUV","Agra"
226,174,1603,"2025-12-20",16.22,355.96,5,"SUV","Delhi"
227,76,1426,"2025-02-13",39.91,887.66,1,"SUV","Delhi"
228,53,1534,"2025-09-05",13.85,302.35,3,"Mini","Kanpur"
229,82,1069,"2025-06-03",18.65,474.67,1,"Sedan","Kanpur"
230,174,1820,"2025-03-26",34.27,847.14,2,"SUV","Noida"
231,119,1238,"2025-07-27",8.09,189.29,2,"SUV","Prayagraj"
232,189,1629,"2025-04-12",26.98,564.79,4,"Mini","Agra"
233,72,1771,"2025-12-27",2.17,39.54,1,"Sedan","Noida"
234,118,1117,"2025-05-15",9.1,181.0,4,"Hatchback","Noida"
235,30,1357,"2025-06-30",16.77,350.29,4,"SUV","Prayagraj"
236,158,1605,"2025-02-13",28.83,561.08,2,"Hatchback","Kanpur"
237,96,1711,"2025-03-14",11.07,185.47,5,"Mini","Agra"
238,109,1191,"2025-09-07",24.66,582.52,5,"SUV","Noida"
239,48,1323,"2025-08-19",8.34,161.23,5,"Sedan","Delhi"
240,50,1835,"2025-07-16",38.17,850.01,5,"Mini","Agra"
241,114,1501,"2025-03-27",28.02,594.99,1,"Sedan","Lucknow"
242,138,1296,"2025-03-28",13.1,250.51,4,"Mini","Noida"
243,69,1794,"2025-10-06",21.41,505.08,3,"Sedan","Prayagraj"
244,109,1105,"2025-12-01",18.77,343.08,2,"Hatchback","Kanpur"
245,23,1450,"2025-03-02",19.09,386.17,2,"SUV","Prayagraj"
246,182,1625,"2025-11-20",24.34,493.12,4,"SUV","Noida"
247,53,1825,"2025-01-31",7.29,131.94,5,"Hatchback","Noida"
248,83,1721,"2025-05-30",12.68,292.67,3,"Hatchback","Noida"
249,25,1139,"2025-07-30",39.45,993.73,1,"Hatchback","Prayagraj"
250,64,1150,"2025-12-31",6.82,190.9,3,"SUV","Prayagraj"
251,162,1276,"2025-11-18",16.92,289.88,4,"Mini","Agra"
252,197,1096,"2025-07-26",4.87,131.1,5,"Hatchback","Prayagraj"
253,125,1336,"2025-10-25",37.58,771.75,1,"Sedan","Prayagraj"
254,179,1367,"2025-02-02",38.94,954.91,5,"Mini","Lucknow"
255,127,1275,"2025-06-15",38.79,1061.79,3,"Hatchback","Noida"
256,125,1808,"2025-06-25",23.96,562.87,1,"Sedan","Kanpur"
257,5,1128,"2025-03-22",25.79,710.53,4,"Mini","Kanpur"
258,177,1932,"2025-03-09",39.69,850.04,3,"SUV","Delhi"
259,22,1381,"2025-12-07",5.55,113.26,2,"Sedan","Agra"
260,194,1240,"2025-08-08",25.77,667.18,1,"Sedan","Kanpur"
261,152,1232,"2025-09-23",10.11,163.47,4,"Sedan","Kanpur"
262,109,1711,"2025-03-09",28.43,774.91,4,"Sedan","Lucknow"
263,27,1106,"2025-06-10",16.56,429.92,3,"Hatchback","Lucknow"
264,35,1657,"2025-12-13",16.54,449.9,2,"Sedan","Noida"
265,43,1451,"2025-06-29",23.41,565.46,2,"SUV","Agra"
266,56,1089,"2025-02-21",25.41,549.76,2,"Sedan","Noida"
267,110,1323,"2025-03-13",29.74,602.92,2,"Hatchback","Prayagraj"
268,154,1739,"2025-11-08",5.2,121.16,3,"Sedan","Prayagraj"
269,156,1522,"2025-04-07",35.28,637.92,4,"Hatchback","Prayagraj"
270,62,1507,"2025-07-17",4.07,115.87,1,"SUV","Agra"
271,4,1370,"2025-06-12",26.25,421.71,2,"Mini","Noida"
272,45,1782,"2025-08-30",17.99,417.28,1,"Sedan","Noida"
273,11,1945,"2025-01-31",4.57,86.52,4,"Hatchback","Prayagraj"
274,109,1719,"2025-07-25",29.08,770.81,1,"SUV","Delhi"
275,53,1998,"2025-03-21",5.18,83.84,5,"Hatchback","Agra"
276,167,1698,"2025-11-26",24.28,642.17,1,"Hatchback","Prayagraj"
277,62,1060,"2025-05-06",18.62,545.59,1,"Mini","Kanpur"
278,80,1683,"2025-12-03",19.23,464.07,2,"Sedan","Kanpur"
279,42,1509,"2025-06-27",28.9,737.6,5,"Hatchback","Lucknow"
280,69,1751,"2025-03-02",16.13,423.36,1,"Hatchback","Agra"
281,183,1999,"2025-10-23",12.34,196.92,1,"Mini","Agra"
282,146,1171,"2025-07-08",21.41,338.95,2,"Hatchback","Kanpur"
283,30,1234,"2025-09-18",35.98,903.52,1,"Sedan","Kanpur"
284,99,1943,"2025-03-18",11.29,249.24,2,"Sedan","Noida"
285,168,1430,"2025-04-25",32.52,836.1,3,"SUV","Agra"
286,20,1586,"2025-07-10",36.8,728.6,1,"Sedan","Lucknow"
287,12,1977,"2025-07-25",10.48,238.28,1,"Mini","Delhi"
288,23,1567,"2025-08-22",31.39,617.14,1,"Hatchback","Lucknow"
289,190,1638,"2025-05-05",13.08,350.12,4,"Hatchback","Noida"
290,199,1201,"2025-10-07",38.93,1166.61,2,"SUV","Kanpur"
291,139,1355,"2025-11-22",37.43,574.87,1,"Hatchback","Kanpur"
292,189,1745,"2025-06-07",30.84,636.66,1,"SUV","Noida"
293,16,1996,"2025-03-14",39.36,838.26,3,"Sedan","Kanpur"
294,134,1423,"2025-12-25",37.01,1053.28,3,"Mini","Prayagraj"
295,35,1653,"2025-07-21",5.23,85.95,1,"Sedan","Agra"
296,75,1268,"2025-06-11",27.17,460.82,4,"Hatchback","Delhi"
297,52,1140,"2025-10-27",19.2,355.28,1,"SUV","Kanpur"
298,105,1124,"2025-10-02",8.25,181.42,3,"SUV","Agra"
299,31,1093,"2025-03-22",13.72,260.34,3,"Sedan","Lucknow"
300,24,1729,"2025-05-08",33.77,672.59,3,"Mini","Noida"
301,45,1032,"2025-07-27",3.86,75.2,4,"SUV","Kanpur"
302,36,1125,"2025-01-07",19.56,529.26,1,"SUV","Lucknow"
303,176,1646,"2025-11-27",9.53,200.21,1,"Hatchback","Kanpur"
304,166,1455,"2025-03-07",2.83,45.19,1,"Hatchback","Kanpur"
305,44,1947,"2025-10-21",3.62,79.33,4,"Mini","Agra"
306,45,1363,"2025-04-20",3.12,78.77,2,"Hatchback","Delhi"
307,158,1635,"2025-11-12",18.95,326.5,2,"Hatchback","Agra"
308,16,1090,"2025-05-24",17.66,410.78,4,"SUV","Agra"
309,135,1256,"2025-11-19",9.58,270.82,5,"Sedan","Agra"
310,140,1801,"2025-09-06",31.71,646.46,3,"Hatchback","Agra"
311,153,1225,"2025-01-16",12.28,189.0,3,"Sedan","Agra"
312,60,1998,"2025-03-23",22.12,586.24,1,"SUV","Prayagraj"
313,189,1058,"2025-04-23",11.16,256.74,5,"Mini","Delhi"
314,45,1181,"2025-05-02",37.54,1121.44,5,"Hatchback","Prayagraj"
315,8,1721,"2025-12-25",28.51,818.51,3,"SUV","Noida"
316,127,1556,"2025-06-08",38.04,1048.02,2,"Mini","Kanpur"
317,57,1021,"2025-09-27",5.43,100.4,4,"Sedan","Delhi"
318,34,1349,"2025-04-01",36.88,664.65,3,"Sedan","Kanpur"
319,37,1793,"2025-02-26",7.61,194.59,5,"Hatchback","Kanpur"
320,102,1601,"2025-02-21",16.2,471.89,3,"Hatchback","Delhi"
321,112,1811,"2025-11-24",7.19,124.84,4,"Hatchback","Lucknow"
322,158,1806,"2025-07-02",28.87,676.41,2,"SUV","Agra"
323,33,1182,"2025-01-01",13.66,345.97,5,"Mini","Noida"
324,157,1227,"2025-11-24",3.23,77.64,5,"Sedan","Agra"
325,61,1356,"2025-06-13",7.34,192.16,2,"Sedan","Prayagraj"
326,86,1458,"2025-01-06",27.46,712.29,3,"SUV","Lucknow"
327,28,1738,"2025-01-01",28.34,574.09,1,"Mini","Agra"
328,106,1505,"2025-07-13",29.84,881.37,3,"Mini","Kanpur"
329,148,1667,"2025-12-18",33.49,898.57,2,"SUV","Agra"
330,76,1021,"2025-06-13",4.8,132.89,3,"Sedan","Kanpur"
331,42,1750,"2025-02-08",14.99,424.5,5,"Sedan","Delhi"
332,124,1722,"2025-01-16",24.57,594.71,4,"SUV","Noida"
333,26,1340,"2025-04-16",35.81,621.54,2,"Mini","Prayagraj"
334,139,1272,"2025-12-05",23.06,666.06,3,"Hatchback","Lucknow"
335,141,1861,"2025-09-09",5.64,117.84,2,"Sedan","Delhi"
336,170,1641,"2025-11-04",2.14,34.91,4,"SUV","Kanpur"
337,75,1084,"2025-08-31",2.98,52.34,1,"Hatchback","Agra"
338,68,1094,"2025-11-25",19.9,565.62,5,"Mini","Lucknow"
339,48,1457,"2025-01-23",16.1,333.62,3,"Mini","Agra"
340,145,1064,"2025-03-19",12.01,330.95,1,"Sedan","Prayagraj"
341,194,1604,"2025-04-27",15.06,348.21,5,"Sedan","Agra"
342,138,1704,"2025-09-01",33.1,704.35,5,"SUV","Agra"
343,183,1036,"2025-09-15",13.36,279.52,5,"SUV","Kanpur"
344,43,1996,"2025-04-19",38.07,827.47,2,"SUV","Kanpur"
345,112,1207,"2025-11-18",18.09,539.52,2,"Hatchback","Delhi"
346,18,1090,"2025-07-18",36.61,1051.17,5,"Mini","Noida"
347,118,1940,"2025-01-07",14.39,275.47,5,"Mini","Kanpur"
348,151,1597,"2025-02-21",17.75,305.71,1,"Sedan","Delhi"
349,106,1271,"2025-07-16",34.96,985.94,4,"Mini","Kanpur"
350,159,1624,"2025-12-15",8.54,179.72,4,"Sedan","Agra"
351,61,1051,"2025-09-01",35.8,715.01,3,"Hatchback","Kanpur"
352,80,1288,"2025-09-09",14.84,399.27,1,"SUV","Lucknow"
353,199,1846,"2025-06-14",13.42,351.01,3,"Mini","Noida"
354,55,1936,"2025-07-28",26.53,472.74,4,"Hatchback","Kanpur"
355,80,1727,"2025-09-17",21.58,375.16,4,"SUV","Noida"
356,50,1897,"2025-04-13",35.41,546.53,1,"SUV","Kanpur"
357,181,1204,"2025-05-21",19.35,556.71,3,"Mini","Noida"
358,175,1032,"2025-05-04",17.08,492.69,3,"Mini","Noida"
359,122,1601,"2025-10-10",18.95,557.28,3,"Hatchback","Lucknow"
360,177,1093,"2025-05-26",33.83,638.71,1,"Mini","Kanpur"
361,55,1878,"2025-04-24",8.19,193.15,2,"SUV","Delhi"
362,200,1991,"2025-12-16",26.76,607.43,1,"Mini","Lucknow"
363,3,1230,"2025-05-10",26.6,638.86,5,"Hatchback","Prayagraj"
364,109,1917,"2025-07-12",38.75,954.84,3,"Mini","Delhi"
365,134,1845,"2025-11-16",10.29,200.99,4,"Sedan","Kanpur"
366,96,1575,"2025-11-28",21.44,534.61,5,"Hatchback","Delhi"
367,87,1284,"2025-11-24",28.01,622.55,3,"Hatchback","Delhi"
368,167,1306,"2025-04-07",26.93,788.59,2,"SUV","Kanpur"
369,154,1414,"2025-12-05",32.61,881.63,3,"SUV","Prayagraj"
370,76,1266,"2025-08-03",2.97,66.71,4,"Mini","Prayagraj"
371,147,1836,"2025-04-08",3.34,85.57,3,"SUV","Prayagraj"
372,172,1368,"2025-09-17",22.32,597.58,3,"SUV","Prayagraj"
373,25,1483,"2025-03-07",35.31,625.59,3,"SUV","Prayagraj"
374,57,1364,"2025-04-25",36.18,897.86,3,"Mini","Delhi"
